source,legacy_id,reason,name,category,subcategory
Berta 2.0 - Berta 2.0 (3).csv,recTTSlj16dRzY3u5,category_arbitration_required,La Ferme du Pêcher Gourmand ,Auberge,Ferme auberge
Berta 2.0 - Berta 2.0 (3).csv,rec6xFWezIgLtUSIN,category_arbitration_required,Sarasvathy,Auberge,Auberge
Berta 2.0 - Berta 2.0 (3).csv,recyo9vN3jZJkMCaG,category_arbitration_required,Ferme Auberge Desprairies,Auberge,Ferme auberge
Berta 2.0 - Berta 2.0 (3).csv,recJ0tP4935MwgGZ2,category_arbitration_required,Le Bel Air ,Auberge,Ferme auberge
Berta 2.0 - Berta 2.0 (3).csv,recmTL4WOdCrUBXSI,category_arbitration_required,Ferme Auberge Clou de Girofle,Auberge,Ferme auberge
Berta 2.0 - Berta 2.0 (3).csv,f8006f39,category_arbitration_required,Découvertes en Terres Signées,Patrimoine naturel,Randonnée pédestre
Berta 2.0 - Berta 2.0 (3).csv,c1f84e86,category_arbitration_required,Initiation au carnet de voyage,Divertissement,Art & Artisanat
Berta 2.0 - Berta 2.0 (3).csv,3a638741,activity_or_site_arbitration_required,Lebreton France May,Terre,Exploitation agricole
Berta 2.0 - Berta 2.0 (3).csv,recAz79tqNPNUQNYF,activity_or_site_arbitration_required,Dimitilez-vous,Terre,Sorties 4x4
Berta 2.0 - Berta 2.0 (3).csv,recB2JTuDBL25FrkJ,activity_or_site_arbitration_required,A'RaNd'O,Terre,V.T.T. - Autres cycles ; Randonnée pédestre
Berta 2.0 - Berta 2.0 (3).csv,recaxc7Ea190mLHD4,category_arbitration_required,Ricaric,Patrimoine naturel,Spéléologie / tunnels de lave
Berta 2.0 - Berta 2.0 (3).csv,03541d5a,activity_or_site_arbitration_required,DIMITILE BIKE,Terre,VTTAE
Berta 2.0 - Berta 2.0 (3).csv,recqBcYJ6lKQoE6Q1,activity_or_site_arbitration_required,Z'ile 4x4,Terre,Sorties 4x4
Berta 2.0 - Berta 2.0 (3).csv,recJbOa03QazF8GUQ,activity_or_site_arbitration_required,Kréolie 4x4,Terre,Sorties 4x4
Berta 2.0 - Berta 2.0 (3).csv,rec57GxAOD2jsh6LN,activity_or_site_arbitration_required,LAVE'NTURE,Terre,Randonnée pédestre ; Spéléologie / tunnels de lave
Berta 2.0 - Berta 2.0 (3).csv,recQ92NHVqgQnEXJ1,activity_or_site_arbitration_required,Rougail Rando,Terre,Randonnée pédestre
Berta 2.0 - Berta 2.0 (3).csv,recqN19d2eJTgPzZy,activity_or_site_arbitration_required,Spéléolave,Terre,Randonnée pédestre ; Spéléologie / tunnels de lave
Berta 2.0 - Berta 2.0 (3).csv,recaDnwM100hMyG5t,activity_or_site_arbitration_required,Parc Piscicole de Langevin,Etangs et rivières,Aquaculture
Berta 2.0 - Berta 2.0 (3).csv,1b807167,category_arbitration_required,FUN BALL COLORS,Divertissement,Paintball
Berta 2.0 - Berta 2.0 (3).csv,recAMIg8ptUTR5din,category_arbitration_required,Auberge du Cissia,Auberge,Auberge
Berta 2.0 - Berta 2.0 (3).csv,rec6dejyDi7Joy3vA,activity_or_site_arbitration_required,Aquasens,Etangs et rivières ; Mer,Randonnée aquatique ; kayak de mer ; Big Paddle
Berta 2.0 - Berta 2.0 (3).csv,rec4Sp1Kc7fr9A3H4,category_arbitration_required,Fleur de Vanille,Auberge,Auberge de campagne
Berta 2.0 - Berta 2.0 (3).csv,recw7koVvxLQYlR3r,category_arbitration_required,AGENCE AVENTURE LA REUNION,Patrimoine naturel,Randonnée pédestre
Berta 2.0 - Berta 2.0 (3).csv,d9f1c8dd,category_arbitration_required,Auberge de campagne Les 4 Saisons,Auberge,Chambre d'hôte ; Table d'hôte
Berta 2.0 - Berta 2.0 (3).csv,recSC9OXFUnSkDFs7,category_arbitration_required,Auberge Le Palmier,Auberge,Auberge
Berta 2.0 - Berta 2.0 (3).csv,recEMpzm8TU3vMA56,category_arbitration_required,Le Rond de Basse Vallée ,Auberge,Ferme auberge
Berta 2.0 - Berta 2.0 (3).csv,recK7OqJ0GoZM2zxL,category_arbitration_required,Le Jardin des Parfums et des Epices ,Patrimoine naturel,Parc - jardin
Berta 2.0 - Berta 2.0 (3).csv,d05d63f5,activity_or_site_arbitration_required,ALTIRUN,Terre,Randonnée pédestre
Berta 2.0 - Berta 2.0 (3).csv,71f48e35,activity_or_site_arbitration_required,Terre et feu créations,Terre,Atelier poterie et céramique
Berta 2.0 - Berta 2.0 (3).csv,01ebf129,activity_or_site_arbitration_required,Chez I&S,Terre,VTTAE
Berta 2.0 - Berta 2.0 (3).csv,recxY4pUkZnofQw1g,activity_or_site_arbitration_required,Village Pêche Nature,Etangs et rivières,Pêche
Berta 2.0 - Berta 2.0 (3).csv,recLQNR4xAVfyM4PB,activity_or_site_arbitration_required,Les Cent pieds ,Terre,Randonnée pédestre
Berta 2.0 - Berta 2.0 (3).csv,recMgWQrTWMVok83m,activity_or_site_arbitration_required,Kokapat Rando,Terre,Randonnée pédestre ; Spéléologie / tunnels de lave
Berta 2.0 - Berta 2.0 (3).csv,recwhRDfmwSLBFmGp,activity_or_site_arbitration_required,Allon Bat A Pat Rando,Terre,Randonnée pédestre
Berta 2.0 - Berta 2.0 (3).csv,recmBT3F3xQsKoKUc,activity_or_site_arbitration_required,Bugg's Buggy 974,Terre,Sorties 4x4
Berta 2.0 - Berta 2.0 (3).csv,recUu7UCrEm9QqdId,category_arbitration_required,Paintball de Grand Coude,Divertissement,Paintball
Berta 2.0 - Berta 2.0 (3).csv,rec2GKrBMZznC55dv,activity_or_site_arbitration_required,Paintball de Saint-Joseph,Terre,Paintball
Berta 2.0 - Berta 2.0 (3).csv,reciRau4N0LIOVTld,category_arbitration_required,Apiculture Reunion,Patrimoine naturel,Agrotourisme
Berta 2.0 - Berta 2.0 (3).csv,recA8RcBo4tXZjZIg,missing_category,Au temps pour vous,,
Berta 2.0 - Berta 2.0 (3).csv,recbVgtiqqHlRN8XU,category_arbitration_required,Médiathèque,Divertissement,Souvenirs ; salle d'exposition
Berta 2.0 - Berta 2.0 (3).csv,recMRfMNb8z5QK5yw,category_arbitration_required,Théâtre d'Azur,Divertissement,Théâtre ou salle de spectacle
Berta 2.0 - Berta 2.0 (3).csv,recYRuItssPbSiSUL,category_arbitration_required,Théâtre Luc Donat,Divertissement,Théâtre ou salle de spectacle
Berta 2.0 - Berta 2.0 (3).csv,recqqYy1KnXoVFHaO,category_arbitration_required,Le Cabaret Pat'Jaune ,Divertissement,Théâtre ou salle de spectacle
Berta 2.0 - Berta 2.0 (3).csv,recpQwmcO83qNQAtR,missing_category,Réunion Boutik,,
Berta 2.0 - Berta 2.0 (3).csv,8d37b1bb,activity_or_site_arbitration_required,Mira Céramik Art,Terre,salle d'exposition ; Atelier poterie et céramique
Berta 2.0 - Berta 2.0 (3).csv,402cda71,activity_or_site_arbitration_required,Mobilboard,Terre,Segway
Berta 2.0 - Berta 2.0 (3).csv,4ca65b6f,category_arbitration_required,Les Ateliers Péï,Divertissement,atelier
Berta 2.0 - Berta 2.0 (3).csv,37c89345,category_arbitration_required,La Gourmandise des Moches,Divertissement,atelier
Berta 2.0 - Berta 2.0 (3).csv,403a832a,category_arbitration_required,Les Synergies d'Amandine,Patrimoine naturel,Art & Artisanat
Berta 2.0 - Berta 2.0 (3).csv,d42800d8,category_arbitration_required,ISDrawing 97430,Divertissement,Dessin
Berta 2.0 - Berta 2.0 (3).csv,b5309448,category_arbitration_required,RODBIKELOC,Divertissement,V.T.T. - Autres cycles
Berta 2.0 - Berta 2.0 (3).csv,1c92c8fa,category_arbitration_required,Entre Fleurs et Plantes,Patrimoine naturel,Horticulture
Berta 2.0 - Berta 2.0 (3).csv,352ab9ee,category_arbitration_required,GAMIKIT,Divertissement,atelier
